sample_id,company,stock_code,exchange,year,report_title,source,source_url,local_raw_path,report_date,data_type,notes
万华化学_2021,万华化学,600309,SSE,2021,万华化学集团股份有限公司2021年年度报告,CNINFO,,data/raw/cninfo/600309_WANHUA/WANHUA_600309_2021_annual_report.pdf,,real_raw,待补公告日期
万华化学_2022,万华化学,600309,SSE,2022,万华化学集团股份有限公司2022年年度报告,CNINFO,,data/raw/cninfo/600309_WANHUA/WANHUA_600309_2022_annual_report.pdf,,real_raw,待补公告日期
万华化学_2023,万华化学,600309,SSE,2023,万华化学集团股份有限公司2023年年度报告,CNINFO,,data/raw/cninfo/600309_WANHUA/WANHUA_600309_2023_annual_report.pdf,,real_raw,待补公告日期
万华化学_2024,万华化学,600309,SSE,2024,万华化学集团股份有限公司2024年年度报告,CNINFO,,data/raw/cninfo/600309_WANHUA/WANHUA_600309_2024_annual_report.pdf,,real_raw,待补公告日期
万华化学_2025,万华化学,600309,SSE,2025,万华化学集团股份有限公司2025年年度报告,CNINFO,,data/raw/cninfo/600309_WANHUA/WANHUA_600309_2025_annual_report.pdf,,real_raw,待补公告日期
隆基绿能_2021,隆基绿能,601012,SSE,2021,隆基绿能科技股份有限公司2021年年度报告,CNINFO,,data/raw/cninfo/601012_LONGI/LONGI_601012_2021_annual_report.pdf,,real_raw,待补公告日期
隆基绿能_2022,隆基绿能,601012,SSE,2022,隆基绿能科技股份有限公司2022年年度报告,CNINFO,,data/raw/cninfo/601012_LONGI/LONGI_601012_2022_annual_report.pdf,,real_raw,待补公告日期
隆基绿能_2023,隆基绿能,601012,SSE,2023,隆基绿能科技股份有限公司2023年年度报告,CNINFO,,data/raw/cninfo/601012_LONGI/LONGI_601012_2023_annual_report.pdf,,real_raw,待补公告日期
隆基绿能_2024,隆基绿能,601012,SSE,2024,隆基绿能科技股份有限公司2024年年度报告（修订版）,CNINFO,,data/raw/cninfo/601012_LONGI/LONGI_601012_2024_annual_report_revised.pdf,,real_raw,使用修订版；待补公告日期
隆基绿能_2025,隆基绿能,601012,SSE,2025,隆基绿能科技股份有限公司2025年年度报告,CNINFO,,data/raw/cninfo/601012_LONGI/LONGI_601012_2025_annual_report.pdf,,real_raw,待补公告日期
